Date	Close	Open	High	Low	Volume	Change %
"Dec 20, 2019"	1.140	1.150	1.160	1.140	906500	-0.87
"Dec 19, 2019"	1.150	1.160	1.170	1.140	10700000	-1.71
"Dec 18, 2019"	1.170	1.150	1.170	1.140	12230000	1.74
"Dec 17, 2019"	1.150	1.170	1.190	1.140	29170000	-0.86
"Dec 16, 2019"	1.160	1.170	1.180	1.140	20620000	-0.85
"Dec 13, 2019"	1.170	1.100	1.180	1.100	49520000	6.36
"Dec 12, 2019"	1.100	1.100	1.110	1.080	17350000	0.00
"Dec 11, 2019"	1.100	1.110	1.120	1.070	28360000	-1.79
"Dec 10, 2019"	1.120	1.140	1.140	1.100	19970000	-1.75
"Dec 09, 2019"	1.140	1.140	1.160	1.130	10190000	-0.87
"Dec 06, 2019"	1.150	1.160	1.160	1.130	12000000	-0.86
"Dec 05, 2019"	1.160	1.150	1.160	1.140	11820000	0.87
"Dec 04, 2019"	1.150	1.140	1.160	1.130	14150000	0.00
"Dec 03, 2019"	1.150	1.180	1.180	1.150	18210000	-2.54
"Dec 02, 2019"	1.180	1.180	1.190	1.160	14120000	0.00
"Nov 29, 2019"	1.180	1.210	1.220	1.160	16350000	0.00
"Nov 28, 2019"	1.180	1.200	1.200	1.180	8130000	-1.67
"Nov 27, 2019"	1.200	1.210	1.220	1.180	13740000	-0.83
"Nov 26, 2019"	1.210	1.260	1.260	1.190	20230000	-3.20
"Nov 25, 2019"	1.250	1.230	1.270	1.230	38430000	2.46
"Nov 22, 2019"	1.220	1.220	1.250	1.210	30780000	0.83
"Nov 21, 2019"	1.210	1.190	1.240	1.190	63740000	3.42
"Nov 20, 2019"	1.170	1.170	1.190	1.160	10780000	0.00
"Nov 19, 2019"	1.170	1.180	1.180	1.160	10610000	-0.85
"Nov 18, 2019"	1.180	1.180	1.180	1.160	15180000	1.72
"Nov 15, 2019"	1.160	1.180	1.180	1.160	16300000	-1.69
"Nov 14, 2019"	1.180	1.150	1.200	1.150	20210000	2.61
"Nov 13, 2019"	1.150	1.160	1.170	1.140	10710000	-0.86
"Nov 12, 2019"	1.160	1.180	1.180	1.150	14320000	-0.85
"Nov 11, 2019"	1.170	1.190	1.200	1.160	15930000	-0.85
"Nov 08, 2019"	1.180	1.190	1.210	1.180	19940000	0.85
"Nov 07, 2019"	1.170	1.190	1.190	1.150	22940000	-0.85
"Nov 06, 2019"	1.180	1.180	1.230	1.160	41670000	0.00
"Nov 05, 2019"	1.180	1.130	1.190	1.100	44210000	5.36
"Nov 04, 2019"	1.120	1.160	1.170	1.120	24390000	-2.61
"Nov 01, 2019"	1.150	1.150	1.160	1.140	16590000	0.88
"Oct 31, 2019"	1.140	1.060	1.170	1.060	77960000	7.55
"Oct 30, 2019"	1.060	1.140	1.140	1.050	52170000	-7.02
"Oct 29, 2019"	1.140	1.200	1.200	1.140	25560000	-4.20
"Oct 25, 2019"	1.190	1.200	1.210	1.190	20240000	0.00
"Oct 24, 2019"	1.190	1.200	1.220	1.180	19420000	0.00
"Oct 23, 2019"	1.190	1.240	1.240	1.170	35900000	-4.03
"Oct 22, 2019"	1.240	1.250	1.260	1.220	23300000	-0.80
"Oct 21, 2019"	1.250	1.270	1.290	1.240	12970000	-0.79
"Oct 18, 2019"	1.260	1.220	1.310	1.160	84190000	0.80
"Oct 17, 2019"	1.250	1.400	1.410	1.250	60670000	-10.71
"Oct 16, 2019"	1.400	1.430	1.430	1.390	21730000	-1.41
"Oct 15, 2019"	1.420	1.440	1.440	1.410	18100000	-1.39
"Oct 14, 2019"	1.440	1.440	1.460	1.430	8610000	0.70
"Oct 11, 2019"	1.430	1.440	1.450	1.420	4670000	0.00
"Oct 10, 2019"	1.430	1.410	1.450	1.410	8910000	1.42
"Oct 09, 2019"	1.410	1.450	1.470	1.400	9580000	-3.42
"Oct 08, 2019"	1.460	1.420	1.490	1.400	19550000	2.82
"Oct 07, 2019"	1.420	1.420	1.430	1.400	6350000	0.00
"Oct 04, 2019"	1.420	1.410	1.420	1.410	5540000	0.00
"Oct 03, 2019"	1.420	1.400	1.420	1.390	11300000	0.71
"Oct 02, 2019"	1.410	1.410	1.410	1.390	4160000	0.00
"Oct 01, 2019"	1.410	1.400	1.420	1.400	5810000	0.71
"Sep 30, 2019"	1.400	1.430	1.430	1.390	6800000	-1.41
"Sep 27, 2019"	1.420	1.440	1.440	1.410	7400000	-0.70
"Sep 26, 2019"	1.430	1.440	1.440	1.420	8700000	0.00
"Sep 25, 2019"	1.430	1.420	1.450	1.420	8820000	0.00
"Sep 24, 2019"	1.430	1.430	1.450	1.420	9270000	0.00
"Sep 23, 2019"	1.430	1.450	1.450	1.410	11110000	-0.69
"Sep 20, 2019"	1.440	1.440	1.460	1.430	14800000	0.00
"Sep 19, 2019"	1.440	1.460	1.470	1.430	7490000	-1.37
"Sep 18, 2019"	1.460	1.460	1.470	1.450	8660000	0.69
"Sep 17, 2019"	1.450	1.450	1.470	1.440	5870000	-0.68
"Sep 13, 2019"	1.460	1.420	1.470	1.410	14380000	2.82
"Sep 12, 2019"	1.420	1.440	1.440	1.420	5920000	-0.70
"Sep 11, 2019"	1.430	1.420	1.440	1.400	13800000	0.70
"Sep 10, 2019"	1.420	1.420	1.440	1.410	6690000	0.00
"Sep 06, 2019"	1.420	1.440	1.450	1.420	5190000	-0.70
"Sep 05, 2019"	1.430	1.410	1.450	1.400	16850000	1.42
"Sep 04, 2019"	1.410	1.380	1.420	1.380	16400000	2.17
"Sep 03, 2019"	1.380	1.420	1.420	1.380	8490000	-2.82
"Aug 30, 2019"	1.420	1.390	1.430	1.380	13790000	4.41
"Aug 29, 2019"	1.360	1.380	1.390	1.350	12340000	-1.45
"Aug 28, 2019"	1.380	1.390	1.400	1.360	11800000	-0.72
"Aug 27, 2019"	1.390	1.400	1.420	1.390	9600000	0.00
"Aug 26, 2019"	1.390	1.440	1.440	1.380	21770000	-4.14
"Aug 23, 2019"	1.450	1.470	1.470	1.450	10180000	-0.68
"Aug 22, 2019"	1.460	1.440	1.480	1.430	12970000	2.10
"Aug 21, 2019"	1.430	1.450	1.470	1.420	20700000	-2.05
"Aug 20, 2019"	1.460	1.470	1.480	1.450	10200000	0.00
"Aug 19, 2019"	1.460	1.480	1.500	1.460	17860000	-0.68
"Aug 16, 2019"	1.470	1.490	1.490	1.460	8770000	-0.68
"Aug 15, 2019"	1.480	1.450	1.500	1.440	15920000	0.00
"Aug 14, 2019"	1.480	1.520	1.530	1.470	16270000	-1.33
"Aug 13, 2019"	1.500	1.520	1.520	1.480	11560000	-1.96
"Aug 09, 2019"	1.530	1.510	1.550	1.500	26670000	2.00
"Aug 08, 2019"	1.500	1.490	1.520	1.480	15960000	0.67
"Aug 07, 2019"	1.490	1.510	1.510	1.470	18190000	-1.32
"Aug 06, 2019"	1.510	1.500	1.530	1.470	45140000	-1.95
"Aug 05, 2019"	1.540	1.580	1.590	1.500	20430000	-3.14
"Aug 02, 2019"	1.590	1.580	1.600	1.570	11830000	-0.62
"Aug 01, 2019"	1.600	1.530	1.610	1.530	12350000	3.23
"Jul 31, 2019"	1.550	1.580	1.600	1.550	15530000	-2.52
"Jul 29, 2019"	1.590	1.610	1.630	1.580	19690000	-1.85
"Jul 26, 2019"	1.620	1.660	1.660	1.620	10530000	-1.82
"Jul 25, 2019"	1.650	1.660	1.670	1.640	14470000	-0.60
"Jul 24, 2019"	1.660	1.680	1.690	1.640	17100000	-1.19
"Jul 23, 2019"	1.680	1.620	1.700	1.620	59180000	4.35
"Jul 22, 2019"	1.610	1.570	1.620	1.560	16310000	1.90
"Jul 19, 2019"	1.580	1.550	1.590	1.550	13300000	1.94
